precision,computeUnit,shapeMode,label,iter,classification,wav_rms_int16,wav_peak_int16,has_nan,has_inf,mel_normalized_sha,encoder_output_sha,postnet_output_sha,waveform_postdeemph_sha,decoder_step1_mel_min,decoder_step1_mel_max,decoder_step1_mel_mean,decoder_step1_mel_sha,runId,run_dir
Float32,cpuAndGPU,fixed262,freshFirstNoSleep,,quiet,711.9,23873.6,false,false,35f61dbe02,7a86f45193,483ab4e454,fd8f3e6a89,,,,,20260517_004308_freshFirstNoSleep_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_004308_freshFirstNoSleep_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstSleep10,10,quiet,711.9,23873.6,false,false,35f61dbe02,7a86f45193,483ab4e454,fd8f3e6a89,,,,,20260517_004537_freshFirstSleep10_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_004537_freshFirstSleep10_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstRepeat1,1,quiet,900.8,26008.0,false,false,35f61dbe02,7a86f45193,fa3026262c,d8b45b4346,,,,,20260517_004647_freshFirstRepeat1_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_004647_freshFirstRepeat1_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstRepeat2,2,quiet,861.0,24799.3,false,false,35f61dbe02,7a86f45193,d869e3caf8,d86424251b,,,,,20260517_004744_freshFirstRepeat2_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_004744_freshFirstRepeat2_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstRepeat3,3,quiet,861.0,24799.3,false,false,35f61dbe02,7a86f45193,d869e3caf8,d86424251b,,,,,20260517_004840_freshFirstRepeat3_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_004840_freshFirstRepeat3_Float32_cpuAndGPU
Float32,cpuOnly,fixed262,freshFirstCpuOnly,,normal_loud,3285.2,23466.8,false,false,35f61dbe02,3e2a21d1af,d3b18f1621,7c8b590622,,,,,20260517_004951_freshFirstCpuOnly_Float32_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260517_004951_freshFirstCpuOnly_Float32_cpuOnly
Float32,all,fixed262,freshFirstAll,,normal_loud,3233.7,28294.7,false,false,35f61dbe02,7a86f45193,28a611865b,22e198f03d,,,,,20260517_005055_freshFirstAll_Float32_all,audio/iPhone_3_phase1_20260519/debug/20260517_005055_freshFirstAll_Float32_all
Float32,cpuAndGPU,fixed262,directRepeat1,1,quiet,750.1,11518.5,false,false,35f61dbe02,7a86f45193,4483eba938,b6bc627239,,,,,20260517_005150_directRepeat1_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_005150_directRepeat1_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat1,1,quiet,2121.0,24986.3,false,false,35f61dbe02,7a86f45193,12f658502f,1c2da502ea,,,,,20260517_005201_directRepeat1_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_005201_directRepeat1_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat2,2,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,,,,,20260517_005259_directRepeat2_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_005259_directRepeat2_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat3,3,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,,,,,20260517_005340_directRepeat3_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260517_005340_directRepeat3_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRun1,1,clipped,8441.4,33162.5,false,false,35f61dbe02,7a86f45193,455c1659ba,3357552975,inf,-inf,nan,7da2ba4c61556304,20260519_014745_directRun1_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_014745_directRun1_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat1,1,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-2.340228e-02,5.404816e-01,6.440452e-02,eb229bd79d8453b3,20260519_014849_directRepeat1_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_014849_directRepeat1_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat2,2,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_014956_directRepeat2_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_014956_directRepeat2_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat3,3,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_015106_directRepeat3_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_015106_directRepeat3_Float32_cpuAndGPU
Float16,cpuAndGPU,fixed262,f16GpuRepeat1,1,normal_loud,4993.2,24176.4,false,false,35f61dbe02,dc99946a25,a8fabfd8d1,80d3340c11,-9.588623e-02,8.525391e-01,4.380997e-01,d3483192dcecc8f2,20260519_015217_f16GpuRepeat1_Float16_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_015217_f16GpuRepeat1_Float16_cpuAndGPU
Float16,cpuAndGPU,fixed262,f16GpuRepeat2,2,normal_loud,4993.2,24176.4,false,false,35f61dbe02,dc99946a25,a8fabfd8d1,80d3340c11,-9.588623e-02,8.525391e-01,4.380997e-01,d3483192dcecc8f2,20260519_015328_f16GpuRepeat2_Float16_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_015328_f16GpuRepeat2_Float16_cpuAndGPU
Float16,cpuAndGPU,fixed262,f16GpuRepeat3,3,normal_loud,4993.2,24176.4,false,false,35f61dbe02,dc99946a25,a8fabfd8d1,80d3340c11,-9.588623e-02,8.525391e-01,4.380997e-01,d3483192dcecc8f2,20260519_015439_f16GpuRepeat3_Float16_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_015439_f16GpuRepeat3_Float16_cpuAndGPU
Int8,cpuAndGPU,fixed262,int8GpuRepeat1,1,normal_loud,5534.3,27709.9,false,false,35f61dbe02,a7a90552f5,33c43a8790,b53d6d3c08,-7.727051e-02,8.432617e-01,4.369622e-01,f9d848c887b4865c,20260519_015550_int8GpuRepeat1_Int8_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_015550_int8GpuRepeat1_Int8_cpuAndGPU
Int8,cpuAndGPU,fixed262,int8GpuRepeat2,2,normal_loud,5534.3,27709.9,false,false,35f61dbe02,a7a90552f5,33c43a8790,b53d6d3c08,-7.727051e-02,8.432617e-01,4.369622e-01,f9d848c887b4865c,20260519_015705_int8GpuRepeat2_Int8_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_015705_int8GpuRepeat2_Int8_cpuAndGPU
Int8,cpuAndGPU,fixed262,int8GpuRepeat3,3,normal_loud,5534.3,27709.9,false,false,35f61dbe02,a7a90552f5,33c43a8790,b53d6d3c08,-7.727051e-02,8.432617e-01,4.369622e-01,f9d848c887b4865c,20260519_015817_int8GpuRepeat3_Int8_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_015817_int8GpuRepeat3_Int8_cpuAndGPU
Float32,cpuOnly,fixed262,f32CpuRepeat1,1,normal_loud,5029.1,24326.4,false,false,35f61dbe02,3e2a21d1af,56ed1e49d0,a41e3880d6,-7.523292e-02,6.570885e-01,1.152002e-01,4cc1f8388097fa6e,20260519_015931_f32CpuRepeat1_Float32_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_015931_f32CpuRepeat1_Float32_cpuOnly
Float32,cpuOnly,fixed262,f32CpuRepeat2,2,normal_loud,5029.1,24326.4,false,false,35f61dbe02,3e2a21d1af,56ed1e49d0,a41e3880d6,-5.326035e-02,7.316651e-01,2.696740e-01,a04262d917865db3,20260519_020045_f32CpuRepeat2_Float32_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_020045_f32CpuRepeat2_Float32_cpuOnly
Float32,cpuOnly,fixed262,f32CpuRepeat3,3,normal_loud,5029.1,24326.4,false,false,35f61dbe02,3e2a21d1af,56ed1e49d0,a41e3880d6,-5.326035e-02,7.316651e-01,2.696740e-01,a04262d917865db3,20260519_020159_f32CpuRepeat3_Float32_cpuOnly,audio/iPhone_3_phase1_20260519/debug/20260519_020159_f32CpuRepeat3_Float32_cpuOnly
Float32,all,fixed262,f32AllRepeat1,1,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-7.523200e-02,6.570871e-01,1.152002e-01,05cfafa3895adaac,20260519_020316_f32AllRepeat1_Float32_all,audio/iPhone_3_phase1_20260519/debug/20260519_020316_f32AllRepeat1_Float32_all
Float32,all,fixed262,f32AllRepeat2,2,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_020429_f32AllRepeat2_Float32_all,audio/iPhone_3_phase1_20260519/debug/20260519_020429_f32AllRepeat2_Float32_all
Float32,all,fixed262,f32AllRepeat3,3,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_020542_f32AllRepeat3_Float32_all,audio/iPhone_3_phase1_20260519/debug/20260519_020542_f32AllRepeat3_Float32_all
Float32,cpuAndGPU,fixed262,warmupDummy,,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-7.523200e-02,6.570871e-01,1.152002e-01,05cfafa3895adaac,20260519_020656_warmupDummy_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_020656_warmupDummy_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,warmupReal,,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_020810_warmupReal_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_020810_warmupReal_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstNoSleep,,quiet,945.0,24501.5,false,false,35f61dbe02,7a86f45193,6cecb13ab9,886819b29f,inf,-inf,nan,7da2ba4c61556304,20260519_023902_freshFirstNoSleep_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_023902_freshFirstNoSleep_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstNoSleep,,quiet,1441.0,28798.2,false,false,35f61dbe02,7a86f45193,8cc9788ddc,863aed5bae,-5.809653e-02,6.332774e-01,1.193985e-01,e77522fb3dc1b1f2,20260519_024155_freshFirstNoSleep_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_024155_freshFirstNoSleep_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstNoSleep,,quiet,1443.6,28798.2,false,false,35f61dbe02,7a86f45193,75e0a50212,7c02397a5b,-5.809653e-02,6.332774e-01,1.193985e-01,e77522fb3dc1b1f2,20260519_024335_freshFirstNoSleep_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_024335_freshFirstNoSleep_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstSleep10,10,quiet,611.7,15865.6,false,false,35f61dbe02,7a86f45193,4a8ee69576,fc7aadb91f,inf,-inf,nan,7da2ba4c61556304,20260519_024545_freshFirstSleep10_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_024545_freshFirstSleep10_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,freshFirstSleep10,10,quiet,945.0,24501.5,false,false,35f61dbe02,7a86f45193,6cecb13ab9,886819b29f,inf,-inf,nan,7da2ba4c61556304,20260519_024734_freshFirstSleep10_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_024734_freshFirstSleep10_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRun1,1,clipped,8441.4,33162.5,false,false,35f61dbe02,7a86f45193,455c1659ba,3357552975,inf,-inf,nan,7da2ba4c61556304,20260519_211544_directRun1_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_211544_directRun1_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat1,1,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-2.340228e-02,5.404816e-01,6.440452e-02,eb229bd79d8453b3,20260519_211649_directRepeat1_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_211649_directRepeat1_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat2,2,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_211757_directRepeat2_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_211757_directRepeat2_Float32_cpuAndGPU
Float32,cpuAndGPU,fixed262,directRepeat3,3,normal_loud,5029.1,24326.0,false,false,35f61dbe02,7a86f45193,23c51a5431,396a67e8b0,-5.325249e-02,7.316687e-01,2.696745e-01,1d42a4648645c424,20260519_211907_directRepeat3_Float32_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_211907_directRepeat3_Float32_cpuAndGPU
Float16,cpuAndGPU,fixed262,f16GpuRepeat1,1,predict_failed,,,false,false,35f61dbe02,dc99946a25,,,-9.588623e-02,8.525391e-01,4.380997e-01,d3483192dcecc8f2,20260519_212020_f16GpuRepeat1_Float16_cpuAndGPU,audio/iPhone_3_phase1_20260519/debug/20260519_212020_f16GpuRepeat1_Float16_cpuAndGPU
